title,course,specializations,professional certificates,guided project,none,OL Passes 0,OL Passes 5,OL Passes 9,AL Passes 0,AL Passes 3,duration,category_Business Essentials,category_Cloud Computing,category_Computer Security and Networks,category_Data Analysis,category_Design and Product,category_Environmental Science and Sustainability,category_Machine Learning,category_Math and Logic,category_Networking,category_Physics and Astronomy,category_Support and Operations,category_other_category,level_Advanced Level,level_Beginner Level,level_Intermediate Level,level_None
157,1,0,0,0,0,0,0,1,0,1,50,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
158,0,1,0,0,0,0,0,1,0,1,720,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
159,0,1,0,0,0,1,0,0,1,0,720,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
160,1,0,0,0,0,0,0,1,0,1,20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
161,0,0,0,1,0,0,0,1,0,1,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
162,0,0,0,1,0,0,0,1,0,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
163,1,0,0,0,0,0,0,1,0,1,13,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
164,1,0,0,0,0,1,0,0,1,0,20,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
165,1,0,0,0,0,1,0,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
166,1,0,0,0,0,0,0,1,0,1,20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
167,1,0,0,0,0,0,0,1,0,1,50,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
168,1,0,0,0,0,0,0,1,0,1,20,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
169,1,0,0,0,0,0,1,0,0,1,30,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
170,1,0,0,0,0,0,1,0,0,1,20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
171,1,0,0,0,0,0,0,1,0,1,30,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
172,1,0,0,0,0,0,1,0,0,1,50,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
173,0,1,0,0,0,0,0,1,0,1,720,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
174,0,1,0,0,0,1,0,0,1,0,720,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
175,1,0,0,0,0,0,0,1,0,1,30,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
176,1,0,0,0,0,1,0,0,1,0,20,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
177,0,1,0,0,0,0,1,0,0,1,720,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
178,1,0,0,0,0,0,0,1,0,1,20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
179,1,0,0,0,0,1,0,0,1,0,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
180,1,0,0,0,0,1,0,0,1,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
181,1,0,0,0,0,0,0,1,0,1,30,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
182,1,0,0,0,0,0,0,1,0,1,30,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
183,1,0,0,0,0,0,0,1,0,1,50,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
184,1,0,0,0,0,0,0,1,0,1,30,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
185,0,0,0,1,0,0,0,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
186,0,0,0,1,0,0,0,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
187,1,0,0,0,0,1,0,0,1,0,20,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
188,1,0,0,0,0,1,0,0,1,0,20,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
189,1,0,0,0,0,0,0,1,0,1,50,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
190,1,0,0,0,0,0,0,1,0,1,30,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
191,1,0,0,0,0,1,0,0,1,0,20,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
192,1,0,0,0,0,0,0,1,0,1,30,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
193,1,0,0,0,0,1,0,0,1,0,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
194,1,0,0,0,0,0,0,1,0,1,20,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
195,1,0,0,0,0,1,0,0,1,0,30,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
196,1,0,0,0,0,1,0,0,1,0,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
197,1,0,0,0,0,0,0,1,0,1,50,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
198,1,0,0,0,0,0,0,1,0,1,50,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
199,1,0,0,0,0,1,0,0,1,0,30,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
200,1,0,0,0,0,0,1,0,0,1,50,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
201,1,0,0,0,0,0,0,1,0,1,50,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
202,1,0,0,0,0,0,1,0,1,0,13,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
203,1,0,0,0,0,0,0,1,0,1,20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
